#Geograhical area index
#1 US + Canada
#2 Mexico + Central Am. + Carabien
#3 South Am
#4 Australia, New Zealand
#5 Asia
#6 Africa
#7 Mid-east
#8 Western Europe
#9 Former Soviet Block
#10 other or unknown
#11 European Union
#12 Pacific Islands
#
%Title
Test Data Number One
%Format
%Header
Country,Exports,Trade Balance,Year,Population,Geographical Area
%Data
Uruguay,160470,23473,1991,3127100,3
Uruguay,180140,14972,1992,3149284,3
Uruguay,173160,-10479,1993,3171990,3
Uruguay,191760,-23690,1994,3195049,3
Uruguay,214760,-6150,1995,3218193,3
Uruguay,244850,-12720,1996,3241738,3
Uruguay,279310,-16890,1997,3265344,3
Uruguay,282930,-33660,1998,3287316,3
Uruguay,229060,-43730,1999,3305426,3
Uruguay,238380,-53340,2000,3318238,3
Uruguay,213940,-45420,2001,3324937,3
Uruguay,192210,20172,2002,3326395,3
Uruguay,228110,35030,2003,3324950,3
Uruguay,314501,47826,2004,3323921,3
Uruguay,377408,39262,2005,3325727,3
Uruguay,438653,-9079,2006,3331195,3
Vanuatu,881,-2321,1986,135171,12
Vanuatu,1373,-2281,1987,138404,12
Vanuatu,1538,-2033,1988,141803,12
Vanuatu,1373,-2301,1989,145467,12
Vanuatu,1373,-2930,1990,149449,12
Vanuatu,1485,-2001,1991,153823,12
Vanuatu,1779,-586,1992,158535,12
Vanuatu,1742,-837,1993,163361,12
Vanuatu,2510,-488,1994,167992,12
Vanuatu,2827,-479,1995,172220,12
Vanuatu,3019,533,1996,175940,12
Vanuatu,3532,816,1997,179258,12
Vanuatu,3378,1454,1998,182430,12
Vanuatu,2565,-1610,1999,185830,12
Vanuatu,2719,990,2000,189723,12
Vanuatu,1988,-1181,2001,194194,12
Vanuatu,2019,-2502,2002,199150,12
Vanuatu,2683,-2654,2003,204462,12
Vanuatu,3814,-2567,2004,209918,12
Vanuatu,3811,-3744,2005,215366,12
Vanuatu,3769,-3559,2006,220772,12
Venezuela,866400,-52200,1986,17787049,3
Venezuela,1056400,32000,1987,18269000,3
Venezuela,1021700,-389100,1988,18758109,3
Venezuela,1305900,471200,1989,19247123,3
Venezuela,1762300,935500,1990,19730747,3
Venezuela,1515900,269800,1991,20207559,3
Venezuela,1420200,-162900,1992,20679114,3
Venezuela,1477900,9000,1993,21146649,3
Venezuela,1610500,452900,1994,21612423,3
Venezuela,1908200,384800,1995,22078116,3
Venezuela,2370700,1050100,1996,22543807,3
Venezuela,2387100,634600,1997,23008877,3
Venezuela,1770700,-169700,1998,23473548,3
Venezuela,2096300,363200,1999,23938014,3
Venezuela,3352900,1341100,2000,24402422,3
Venezuela,2666700,415100,2001,24866759,3
Venezuela,2678100,1051200,2002,25331052,3
Venezuela,2723000,1411300,2003,25795496,3
Venezuela,3966800,1926500,2004,26260319,3
Venezuela,5547300,2791400,2005,26725573,3
Venezuela,6521000,2872500,2006,27191210,3
Viet Nam,725500,-283600,1996,74574803,5
Viet Nam,918500,-187000,1997,75740975,5
Viet Nam,936100,-151900,1998,76856893,5
Viet Nam,1154000,42500,1999,77964490,5
Viet Nam,1444800,-17500,2000,79094396,5
Viet Nam,1502700,-9100,2001,80255806,5
Viet Nam,1670600,-180400,2002,81440330,5
Viet Nam,2014900,-335900,2003,82639773,5
Viet Nam,2648500,-315900,2004,83839483,5
Viet Nam,3244200,-194420,2005,85028643,5
Yemen,138410,-68020,1990,12313576,7
Yemen,119690,-136090,1991,12904295,7
Yemen,107340,-166960,1992,13552813,7
Yemen,116680,-183750,1993,14230268,7
Yemen,179620,-28210,1994,14896500,7
Yemen,198010,-31130,1995,15522959,7
Yemen,226270,-40050,1996,16099319,7
Yemen,227400,-60230,1997,16634967,7
Yemen,150373,-130356,1998,17145355,7
Yemen,247829,-17764,1999,17654835,7
Yemen,379723,71423,2000,18181733,7
Yemen,336686,8509,2001,18729750,7
Yemen,362072,-7994,2002,19294631,7
Yemen,393433,-30894,2003,19877497,7
Yemen,467572,12734,2004,20477919,7
Yemen,641318,83092,2005,21095679,7
Yemen,728532,171466,2006,21732247,7
Zambia,69250,2290,1986,7207455,6
Zambia,85210,9150,1987,7434150,6
Zambia,118950,27130,1988,7663429,6
Zambia,134000,20780,1989,7893255,6
Zambia,125350,-53680,1990,8122189,6
Zambia,117220,14010,1991,8348904,6
Zambia,111040,-11540,1997,9742176,6
Zambia,81800,-33220,1998,9986153,6
Zambia,77200,-29720,1999,10223817,6
Zambia,75700,-44680,2000,10450880,6
Zimbabwe,132274,16419,1986,9186015,6
Zimbabwe,145196,19574,1987,9521903,6
Zimbabwe,166485,28066,1988,9854026,6
Zimbabwe,169353,15998,1989,10177239,6
Zimbabwe,174788,1132,1990,10487416,6
Zimbabwe,169380,-30584,1991,10782061,6
Zimbabwe,152758,-61034,1992,11060151,6
Zimbabwe,160907,-6959,1993,11321020,6
Zimbabwe,196105,-17087,1994,11564740,6
